stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
000000058500002,585,Na Revíne,,48.1687202453613,17.0960445404053,100,0,,,,,B
000000058600001,586,Júnová,,48.1668930053711,17.098201751709,100,0,,,,,A
000000058600002,586,Júnová,,48.1670455932617,17.0981731414795,100,0,,,,,B
000000059400001,594,Guothova,,48.1656341552734,17.0983791351318,100,0,,,,,A
000000059400002,594,Guothova,,48.1655731201172,17.0984592437744,100,0,,,,,B
000000059100002,591,Rozvodná,,48.1683654785156,17.0933284759521,100,0,,,,,B
000000014900004,149,Klenová,,48.1706352233887,17.0930118560791,100,0,,,,,D
000000001100004,11,Bárdošova,,48.1650810241699,17.0959167480469,100,0,,,,,D
000000038800004,388,Stromová,,48.1627235412598,17.0992240905762,100,0,,,,,D
000000058700002,587,Cesta na Kamzík,,48.1616134643555,17.1028671264648,100,0,,,,,B
000000058700001,587,Cesta na Kamzík,,48.1618804931641,17.1025276184082,100,0,,,,,A
000000059000001,590,Žabotova,,48.1589965820313,17.108247756958,100,0,,,,,A
000000058900001,589,Matúškova,,48.1598739624023,17.1119842529297,100,0,,,,,A
000000058800001,588,Jaskový rad,,48.159553527832,17.1079387664795,100,0,,,,,A
000000056200001,562,Stará vinárska,,48.1526031494141,17.0966930389404,100,0,,,,,A
000000056200002,562,Stará vinárska,,48.152645111084,17.0966320037842,100,0,,,,,B
000000056300001,563,Slavín,,48.1523895263672,17.100700378418,100,0,,,,,A
000000056300002,563,Slavín,,48.1522560119629,17.1003227233887,100,0,,,,,B
000000056400004,564,Havlíčkova,,48.1540603637695,17.1004238128662,100,0,,,,,D
000000058400001,584,Kalvária,,48.1578407287598,17.0976104736328,100,0,,,,,A
000000075100001,751,Gorazdova,,48.1615104675293,17.0941009521484,100,0,,,,,A
000000058400002,584,Kalvária,,48.1575775146484,17.0980587005615,100,0,,,,,B
000000056400001,564,Havlíčkova,,48.1540489196777,17.1008052825928,100,0,,,,,A
000000056400002,564,Havlíčkova,,48.1541519165039,17.1007289886475,100,0,,,,,B
000000056500001,565,Mišíkova,,48.1518936157227,17.101921081543,100,0,,,,,A
000000056500002,565,Mišíkova,,48.1519355773926,17.1020832061768,100,0,,,,,B
000000056600001,566,Donovalova,,48.1514053344727,17.0994739532471,100,0,,,,,A
000000056600002,566,Donovalova,,48.150993347168,17.1001224517822,100,0,,,,,B
000000041500001,415,Šulekova,,48.1486663818359,17.09836769104,100,0,,,,,A
000000041500004,415,Šulekova,,48.1490135192871,17.0983543395996,100,0,,,,,D
000000050000003,500,Zochova,,48.1460494995117,17.1039409637451,100,0,,,,,C
000000009500004,95,Hodžovo nám.,,48.1479759216309,17.1068859100342,100,0,,,,,D
000000042000001,420,Tehelná,,48.1643142700195,17.1278038024902,100,0,,,,,A
000000026600002,266,Kukučínova,,48.170108795166,17.1287250518799,100,0,,,,,B
000000026600001,266,Kukučínova,,48.1704406738281,17.1286582946777,100,0,,,,,A
000000017600001,176,Slovany,,48.1729393005371,17.129373550415,100,0,,,,,A
000000029300004,293,Pionierska,,48.1697654724121,17.1273708343506,100,0,,,,,D
000000035900002,359,Sliačska,,48.1725883483887,17.1263465881348,100,0,,,,,B
000000035900001,359,Sliačska,,48.1725273132324,17.1262035369873,100,0,,,,,A
